[encoder] [heavy liif] Init from ... save/carn-liif-pcsr-x4-phase0/iter_last.pth
model: #params=144.1K
iter 1000/500000, train: loss=0.0338, lr: 2.0000e-04, 13.4s 13.4s/1.9h
iter 2000/500000, train: loss=0.0280, lr: 1.9999e-04, 13.2s 26.6s/1.8h
iter 3000/500000, train: loss=0.0275, lr: 1.9998e-04, 12.3s 38.9s/1.8h
iter 4000/500000, train: loss=0.0275, lr: 1.9997e-04, 12.0s 50.9s/1.8h
iter 5000/500000, train: loss=0.0269, lr: 1.9995e-04, 12.6s 1.1m/1.8h
iter 6000/500000, train: loss=0.0274, lr: 1.9993e-04, 12.4s 1.3m/1.8h
iter 7000/500000, train: loss=0.0270, lr: 1.9990e-04, 12.2s 1.5m/1.7h
iter 8000/500000, train: loss=0.0269, lr: 1.9987e-04, 12.8s 1.7m/1.8h
iter 9000/500000, train: loss=0.0268, lr: 1.9984e-04, 12.4s 1.9m/1.7h
iter 10000/500000, train: loss=0.0269, lr: 1.9980e-04, 12.7s 2.1m/1.7h
iter 11000/500000, train: loss=0.0269, lr: 1.9976e-04, 12.1s 2.3m/1.7h
iter 12000/500000, train: loss=0.0268, lr: 1.9972e-04, 12.4s 2.5m/1.7h
iter 13000/500000, train: loss=0.0266, lr: 1.9967e-04, 12.7s 2.7m/1.7h
iter 14000/500000, train: loss=0.0267, lr: 1.9961e-04, 12.1s 2.9m/1.7h
iter 15000/500000, train: loss=0.0266, lr: 1.9956e-04, 12.3s 3.1m/1.7h
iter 16000/500000, train: loss=0.0266, lr: 1.9950e-04, 12.5s 3.3m/1.7h
iter 17000/500000, train: loss=0.0268, lr: 1.9943e-04, 12.2s 3.5m/1.7h
iter 18000/500000, train: loss=0.0267, lr: 1.9936e-04, 12.6s 3.7m/1.7h
iter 19000/500000, train: loss=0.0266, lr: 1.9929e-04, 12.6s 4.0m/1.7h
iter 20000/500000, train: loss=0.0267, lr: 1.9921e-04, 12.3s 4.2m/1.7h
iter 21000/500000, train: loss=0.0264, lr: 1.9913e-04, 12.4s 4.4m/1.7h
iter 22000/500000, train: loss=0.0268, lr: 1.9905e-04, 12.2s 4.6m/1.7h
iter 23000/500000, train: loss=0.0268, lr: 1.9896e-04, 12.4s 4.8m/1.7h
iter 24000/500000, train: loss=0.0269, lr: 1.9887e-04, 12.2s 5.0m/1.7h
iter 25000/500000, train: loss=0.0266, lr: 1.9877e-04, 12.2s 5.2m/1.7h
