Loading new model ...
[encoder] [light liif] [heavy liif] Init from ... save/carn-liif-pcsr-x4-phase1/iter_last.pth
model: #params=144.2K
Model_ref resumed from ... save/carn-liif-pcsr-x4-phase1/iter_last.pth
model_ref: #params=144.1K
iter 400/200000, train: loss=25.3661, lr: 2.0000e-04, 26.4s 26.4s/3.7h
iter 800/200000, train: loss=24.9784, lr: 1.9999e-04, 25.3s 51.7s/3.6h
iter 1200/200000, train: loss=24.7974, lr: 1.9998e-04, 25.5s 1.3m/3.6h
iter 1600/200000, train: loss=25.0841, lr: 1.9997e-04, 25.6s 1.7m/3.6h
iter 2000/200000, train: loss=24.9714, lr: 1.9995e-04, 25.7s 2.1m/3.6h
iter 2400/200000, train: loss=24.8486, lr: 1.9993e-04, 25.7s 2.6m/3.6h
iter 2800/200000, train: loss=25.2263, lr: 1.9990e-04, 25.6s 3.0m/3.6h
iter 3200/200000, train: loss=24.6831, lr: 1.9987e-04, 25.9s 3.4m/3.6h
iter 3600/200000, train: loss=24.6499, lr: 1.9984e-04, 25.8s 3.9m/3.6h
iter 4000/200000, train: loss=25.1895, lr: 1.9980e-04, 25.8s 4.3m/3.6h
iter 4400/200000, train: loss=24.9727, lr: 1.9976e-04, 25.7s 4.7m/3.6h
iter 4800/200000, train: loss=24.9664, lr: 1.9972e-04, 25.9s 5.2m/3.6h
iter 5200/200000, train: loss=25.7713, lr: 1.9967e-04, 25.8s 5.6m/3.6h
iter 5600/200000, train: loss=24.5106, lr: 1.9961e-04, 25.7s 6.0m/3.6h
iter 6000/200000, train: loss=25.2048, lr: 1.9956e-04, 25.7s 6.4m/3.6h
iter 6400/200000, train: loss=25.1219, lr: 1.9950e-04, 25.7s 6.9m/3.6h
iter 6800/200000, train: loss=25.1826, lr: 1.9943e-04, 25.8s 7.3m/3.6h
iter 7200/200000, train: loss=25.0085, lr: 1.9936e-04, 26.0s 7.7m/3.6h
iter 7600/200000, train: loss=25.2368, lr: 1.9929e-04, 25.8s 8.2m/3.6h
iter 8000/200000, train: loss=24.8434, lr: 1.9921e-04, 25.8s 8.6m/3.6h
iter 8400/200000, train: loss=25.1578, lr: 1.9913e-04, 25.9s 9.0m/3.6h
iter 8800/200000, train: loss=25.2780, lr: 1.9905e-04, 25.8s 9.5m/3.6h
iter 9200/200000, train: loss=25.1871, lr: 1.9896e-04, 25.7s 9.9m/3.6h
iter 9600/200000, train: loss=24.8239, lr: 1.9887e-04, 25.7s 10.3m/3.6h
iter 10000/200000, train: loss=25.0635, lr: 1.9877e-04, 25.7s 10.7m/3.6h
iter 10400/200000, train: loss=25.1566, lr: 1.9867e-04, 25.7s 11.2m/3.6h
iter 10800/200000, train: loss=25.1945, lr: 1.9857e-04, 25.7s 11.6m/3.6h
iter 11200/200000, train: loss=25.1529, lr: 1.9846e-04, 25.8s 12.0m/3.6h
iter 11600/200000, train: loss=24.9253, lr: 1.9835e-04, 25.9s 12.5m/3.6h
iter 12000/200000, train: loss=25.1024, lr: 1.9823e-04, 25.8s 12.9m/3.6h
iter 12400/200000, train: loss=25.1911, lr: 1.9811e-04, 25.7s 13.3m/3.6h
iter 12800/200000, train: loss=25.1657, lr: 1.9799e-04, 25.9s 13.7m/3.6h
iter 13200/200000, train: loss=25.7523, lr: 1.9786e-04, 25.8s 14.2m/3.6h
iter 13600/200000, train: loss=25.4207, lr: 1.9773e-04, 25.8s 14.6m/3.6h
iter 14000/200000, train: loss=24.7230, lr: 1.9759e-04, 25.8s 15.0m/3.6h
iter 14400/200000, train: loss=25.0983, lr: 1.9745e-04, 25.8s 15.5m/3.6h
iter 14800/200000, train: loss=25.0433, lr: 1.9731e-04, 25.7s 15.9m/3.6h
iter 15200/200000, train: loss=25.1097, lr: 1.9716e-04, 25.8s 16.3m/3.6h
iter 15600/200000, train: loss=25.0861, lr: 1.9701e-04, 25.8s 16.8m/3.6h
iter 16000/200000, train: loss=25.1392, lr: 1.9686e-04, 25.8s 17.2m/3.6h
iter 16400/200000, train: loss=25.4033, lr: 1.9670e-04, 25.7s 17.6m/3.6h
iter 16800/200000, train: loss=25.0453, lr: 1.9654e-04, 25.8s 18.0m/3.6h
iter 17200/200000, train: loss=25.4059, lr: 1.9637e-04, 25.9s 18.5m/3.6h
iter 17600/200000, train: loss=25.1089, lr: 1.9620e-04, 25.8s 18.9m/3.6h
iter 18000/200000, train: loss=25.0838, lr: 1.9603e-04, 25.8s 19.3m/3.6h
iter 18400/200000, train: loss=24.6819, lr: 1.9585e-04, 25.8s 19.8m/3.6h
iter 18800/200000, train: loss=25.4839, lr: 1.9567e-04, 25.8s 20.2m/3.6h
